"Wrapping Fee (Tax included):","ギフト包装合計（税込）"
"Wrapping Fee (Tax included)","ギフト包装合計（税込）"
"Gift Wrapping for Items (Incl. Tax)","ギフト包装合計（税込）"
"Point used:","使用ポイント："
"Transaction Fee (Tax included):","代引き手数料（税込） "
"Transaction Fee (Tax included)","代引き手数料（税込） "
"Discount (Tax included):","値引き(税込)："
"Discount (Tax included)","値引き(税込)"
"Order Total Incl. Tax:","注文合計(税込)："
"Order Total Incl. Tax","注文合計(税込)"
"Tax:","税："
"Consumption tax:","うち消費税："
"Amount billed (including tax):","ご請求額(税込)："
"Grand Total","ご請求額(税込)"
"Adding...","追加..."
"Add to Cart","カートに入れる"
"Available point balance:","現在の保有ポイント"
"point","ポイント"
"Specified payment method","お支払い方法"
"/ Limited / special price campaign","＼期間限定／特別価格キャンペーン "
"CoolNormalDm","クール便(冷蔵)／メール便／宅配便"
"direct_mail","メール便"
"normal","宅配便"
"cool","クール便（冷蔵）"
"cold","別送冷蔵専用"
"Cold","別送冷蔵専用"
"cosmetic","別送化粧品専用"
"Cosmetic","別送化粧品専用"
"chilled","別送冷凍専用"
"Chilled","別送冷凍専用"
"Cool Post","クール便（冷蔵）"
"FreeShipping","送料無料"
"Wrapping Available","包轟・のし可"
"Deliver goods to","へのお届け商品"
"Point","ポイント"
"Find Address","住所自動入力"
"Find Address","住所自動入力"
"Please select Address Type","アドレスの種類を選択してください"
"Normal Name (full width)","お届け先名(全角)"
"Kana Name (full width)","カナ名(全角) "
"PostCode","郵便番号(半角数字)"
"Shipping Address Form","お届け先の登録・変更"
"Save New Address","お届け先の登録・変更"
"My billing and shipping address are the same","私の請求先住所と配送先住所が同じです"
"Estimated Total","推定合計"
"Your Postcode must be in the format 000-0000","該当する住所は見つかりませんでした。"
"Please enter katakana character.","全角カタカナでのご入力をお願いいたします."
"Please enter a valid phone number. For example 123-456-7890.","電話番号は半角数字10ケタ～11ケタで入力してください。"
"Item","項目"
"Unit","単位"
"You've removed all points","あなたはすべてのポイントを削除しました"
"You used all points","あなたはすべてのポイントを使用しました"
"Point using greater than point left","ポイント左より大きく使用してポイント"
"You used %1 point(s)","あなたは%1ポイントを使用しました"
"Selecting address is not available","アドレスを選択すると利用できません"
"Please select a shipping address.","配送先住所を選択してください。"
"Gift wrapping:","ギフト包装："
"Gift wrapping","ギフト包装"
"Pick a paper of your choice (optional)","お好みのパワーをピック（オプション）"
"Gift Message (optional)","ギフトメッセージ（オプション）"
"Gift options","ギフトオプション"
"Save selected method above as your preferred payment method","上記のご希望のお支払い方法として選択されたメソッドを保存"
"Please select the answer","選択してください"
"Buy","買う"
"Question %1:","質問%1："
"Question %s:","質問%s："
"Question:","質問："
"shopping cart cannot contain SPOT and subscription at the same time","「通常販売商品」、「頒布会商品」、「定期便商品」、「予約販売商品」は、それぞれ同時にお買い物いただけませんので、お手数ですが、別々にご注文ください。"
"Please select all product for subscription Hanpukai","サブスクリプションHanpukaiのためのすべての製品を選択してください"
"It is impossible to select the delivery date, when you use CVS payment method. If you want to select ""Delivery date"", please use Cash on Delivery or Credit Card payment method","※ご入金確認後の発送となりますので、お届けをお急ぎ（25日間以内のお届け）の場合は、「クレジットカード」「代金引換」でのお支払い方法をおススメします。"
"Tax","税"
"Change to multiple address","複数のお届け先に送る方はこちらをクリック"
"Change to single address","すべての商品を１カ所に送る方はこのボタンをクリック"
"Edit address","お届け先情報の変更"
"Change address","お届け先を選ぶ"
"Create new address","新しいお届け先を登録"
"Selected address","お届け先"
"Delivery dates ck","お届け希望日"
"Product name ck","商品名称"
"Price ck","商品価格"
"Qty ck","数量"
"Qty","数量"
"Subtotal ck","小計"
"Delete ck","削除する"
"2. Please review your order","2. お支払い金額を確定してください"
"3. Please select payment method","3. お支払い方法を選んでください"
"We accepts following credit cards.","以下のマークがあるクレジットカードでお支払い頂けます。"
"CAUTION - About Credit Card which includes Debit card function","【デビット機能付きクレジットカードについてのご留意事項】"
"When you use Credit card which includes Debit card function as payment method,~","デビット機能付きのクレジットカードについては、カード情報を入力し「カード情報の確認へ進む」ボタンをクリックした時点で、一旦引き落としされ、一定時間経過後に自動的にその与信はキャンセルされ、ご返金となりますので、ご留意いただけますようよろしくお願い申し上げます。"
"About COD handling fees","代引き手数料について"
"A per-shipment collection handling fee of 324 yen (tax included) applies to all COD orders.","代引き手数料は324円（税込）です。"
"There are some items that COD handling fee is free","ただし、特定商品をご購入の場合は、代引き手数料無料となります。"
"We send you a transfer form before shipping out your order. Please pay at convenience store within the period.","商品を発送する前に振込用紙を郵送いたしますので、振込用紙に記載の期日までにコンビニエンスストアでお支払いください。"
"The transfer form will be delivered after 4 days from order complete.","振込用紙はご注文の約4日後のお届けとなります。 また、商品はご入金確認後約4日後に発送させていただいております。"
"The due date will be 10 days after issuing date.","お支払い期日は振込用紙発行日より10日後となっております。"
"Also, please make sure to finish your payment in 30 days, otherwise your order will be cancelled.","なお、ご注文後30日以内にご入金が確認できない場合はご注文はキャンセルされたものとして取り扱います。"
"* No need to select payment if total amount is zero, payed by points.","※ポイントのご利用でお支払合計金額が「0円」になった場合は、お支払い方法の選択は不要です。"
"Please click [continue]"," そのまま「次へ進む」ボタンをクリックしてください。"
"No Payment method available.","利用可能なお支払い方法はありません。"
"Available points for this order","本注文でご利用可能な"
"Maximum","ポイントの上限"
"pts","ポイント"
"Apply this points","ポイントを使用する。"
"Coupon/Promotion","キャンペーン"
"See Balance","見る"
"Total (Tax included)","お支払い合計金額（税込）"
"Points to be earned","獲得予定ポイント合計"
"Setting the address","お届け先の設定"
"The receiver address","お届け先を"
"Ship to here","宛に"
"Shipping here","設定する"
"Change payment","下記の住所を修正する"
"Modify the above address","上記の住所を修正する"
"Change shipping address","お届け先を変更する"
"Street address","住所"
"Items total (Tax included)","商品合計（税込）"
"Subtotal (Tax included):","合計（税込）"
"Point balance","現在の保有ポイント"
"Point Using","使用するポイント"
"Shipping cost (Tax included)","送料合計（税込）"
"None","なし"
"GiftWrapping","ギフト包装"
"ItemPrice","商品価格"
"ChangePayment","変更"
"Subscription detail ck","定期便詳細"
"Subscription detail hanpukai ck","頒布会詳細"
"Case","ケース"
"Piece","個"
"Buy %1 or more:","%1ケース以上："
"%1 case:","%1 ケース:"
"%1 cases:","%1 個セット:"
"%2 / set","%2／ケース"
"%2 / case","%2／ケース"
"%2 / piece","%2／個"
"Subtotal (tax incl)","小計（税込）"
"Back to previous","前に戻る"
"(Tent) You have input an invalid number","使用ポイントは１以上の値を入力してください。"
"The amount also need %1","%1以内で入力してください"
"Your balance is %1","あなたの残高は%1です"
"CS","ケース"
"EA","個"
"N/A","該当無し"
"Delivery schedule date and time","お届け予定日時"
"Name","氏名"
"Destination:","お届け先:"
"Nestle Online Shop TOP","トップへ戻る"
"Your order number is: %1.","注文番号は%1です。"
"(Order date and time %s)","（注文受付日時%s)"
"Thank you for your purchase!","ご注文ありがとうございました。"
"Credit card(used before)","クレジット支払い（前回使用）"
"(used before)","（前回使用）"
"Choose Credit card which is used before.","前回使用したクレジットカードでお支払いの方はこちら"
"Used date:","ご利用日時："
"%1 ケース:","%1ケース以上："
"%1 個セット:","%1個以上："
"Cool ship type","クール便(冷蔵)"
"Normal ship type","宅配便"
"DM ship type","メール便"
"If you do not mind, please cooperate with the questionnaire.","よろしければ、アンケートにご協力ください。"
"Method Name","お支払方法"
"-- Please select --","- 選んでください -"
"Please specify delivery date and time","配達日時を指定してください"
"No Payment Methods","支払方法無し"
"You can not proceed the order with payment invoice. Please contact the call center.","「請求書支払い」でのご注文手続きを進める事ができません。コールセンターまでお問い合わせください。"
"Telephone","電話番号（半角数字）"
"Quantity","購入数量"
"company","会社"
"shipping","配送"
"Please answer the questionnaire.","アンケートにお答えください。"
"Save","保存"
"%s records found","%s件見つかりました"
"・Approve (by call center SV)","・コールセンターSVによる承認"
"・Approve（by CS)","・カスタマーサービスによる承認"
"・Reject (by call center OP)","・コールセンターOPによる否認"
"・Reject （by CS)","・カスタマーサービスによる否認"
"・Reject(by call center SV)","・コールセンターSVによる否認"
"・Save and send for approval (by call center OP)","・コールセンターOPによる承認"
"Actions","操作"
"All Customers","すべての顧客"
"Apply Firters","入力した条件で検索"
"Automatically calculated Shipping Fee","送料自動計算"
"Business User","""登録/更新ユーザ"""
"Cancel","キャンセル"
"Categories enquiry","カテゴリ"
"Clear All","すべての検索条件を解除"
"Create/Edit Customer","顧客プロファイルページへ"
"Customer ConsumerDb ID","DB顧客ID（EC）"
"Customer Summary","顧客情報"
"Deselect All","すべてをチェックをはずす"
"Deselect All on This Page","このページのすべてを選択をはずす"
"Export","エクスポート"
"Filters","検索"
"Final Returned shipping fee","最終返品送料"
"Final Returnedpayment fee","最終返品支払手数料"
"Full","全部返品"
"Goode amount (including wrapping fee)","返品金額（包装・のし代含む）"
"Hold","保留"
"Items","定期便詳細"
"Manage Shosha","商社管理"
"Never (Offline)","無（オフライン顧客）"
"Normal Delivery","宅配便"
"Normal order","通常注文"
"Notifications","メンテナンス通知"
"Now Online","今オンラインのお客様"
"of %s ","%s 件中"
"Partial","部分返品"
"Payment fee","お支払手数料"
"Payment fee adjustment","返品支払手数料調整"
"per page ","件表示（表示件数）"
"Points not  retractable","キャンセル不可ポイント"
"Points retractable","キャンセル可能ポイント"
"Points to cancel","キャンセルポイント"
"Points to cancel: Earned points","キャンセルすべきポイント"
"Points to return","返品使用ポイント"
"Refund allowed ","返金可否"
"Refund Amount: Adj","返品額調整"
"Refund Wrapping","返品包装・のし代"
"Refund Wrapping: Adj","返品包装・のし代調整"
"Refund Wrapping: Final","最終返品包装・のし代"
"Remain of not retractable points","返品調整ポイント"
"Reset","リセット"
"Return method","返金方法"
"Return shipping fee","返品送料"
"Return Summary","返品情報"
"Returned payment fee","返品支払手数料"
"Returned Warehouse","返品受付倉庫"
"Save","保存"
"Search Customer ConsumerDB","顧客検索（顧客DB）"
"Select All","すべてをチェック"
"Select All on This Page ","このページのすべてを選択"
"ship to multiple address","複数配送先"
"Shipping fee Adjustments","返品送料調整"
"Substitution order","代品出荷番号"
"Surcharge","代引手数料"
"Total before point adjustment","ポイント調整前返品金額"
"update export date order Item","出荷日更新しました"
"we couldn't find any records","登録なし"
"[Warehouse (hidden), code : ASKUL]","在庫数"
"[Warehouse (hidden), code : TOYO]","在庫数"
"1 month","1か月"
"1 week","1週間"
"2 month","2か月"
"2 week","2週間"
"3 month","3か月"
"3 week","3週間"
"4 month","4か月"
"Action","操作"
"Active","有効"
"Active filters:","検索リスト:"
"Add Gift Wrapping","ギフトラップイング追加"
"Add New Option","オプション追加"
"Add New Prize ","新規登録"
"Add new Question","質問を追加"
"Add New Return Item
Requested","返品受付伝票明細を追加
申請中
"
"Add New Template","新規テンプレート登録"
"Add Price","設定を追加"
"Add Product by SKU","SKUコード指定で商品追加"
"Add Reward Points","付与ポイント（値、％）"
"Add video","新規動画登録"
"Adjust final price to discount value","販売価格を直接指定（税抜価格）"
"Adjust final price to this percentage","販売価格（％）を直接指定（税抜価格）"
"Advanced Inventory","在庫詳細"
"Advanced Pricing","価格詳細設定"
"ADVANCED SETTING - Advanced Inventory","詳細設定 - 在庫詳細"
"ADVANCED SETTING - Advanced Pricing","詳細設定 - 価格詳細"
"ADVANCED SETTING - Autosettings","詳細設定 - 自動設定"
"ADVANCED SETTING - Cross-sells","詳細設定 - クロスセル商品"
"ADVANCED SETTING - Custom Options","詳細設定 - カスタムオプション"
"ADVANCED SETTING - Design","詳細設定 - デザイン"
"ADVANCED SETTING - Related Products","詳細設定 - 関連商品"
"ADVANCED SETTING - Up-sells","詳細設定 - アップセル商品"
"Aichi","愛知県"
"Akita","秋田県"
"Alegria Members","アレグリア"
"Alegria Site[JPY]","アレグリア"
"Algeria Site","アレグリア"
"Algeria Site - Algeria Store - Algeria View","アレグリア"
"All","すべて"
"All Deliveries","全ての配送"
"ALL Groups ","すべて"
"All SKUs below","指定SKUすべてを添付"
"All Websites[JPY]","すべて"
"Allow Qty below 0","バックオーダーあり"
"Allow seasonal skip","一定期間お休み可能"
"Allow skip from","スキップ可能期間From"
"Allow skip to","スキップ可能期間To"
"Allow Spot Order","単品購入可否"
"Allow Spot Subscription","単品商品の定期便追加可否"
"Alphabetical","数字"
"Alphanumeric","英数字"
"Alt Text","代替テキスト（画像表示エラー時）"
"Amb company phone number","アンバサダー会社電話番号"
"AMB Sales","アンバサダー売上（更新不要）"
"Ambassador Members","アンバサダー"
"Aomori","青森県"
"Applicable","適用する"
"Applies to All of the Specified Customer Segments","全ての顧客セグメントに適用"
"Apply","プロモーション内容"
"Apply as fixed amount","値引額（税抜）を指定"
"Apply as percentage of original","値引率（%）を指定"
"Apply only to frequency","適用お届け間隔"
"Apply only to subscription","定期便・頒布会選択"
"Apply the rule only if the following conditions are met (leave blank for all products).","下記の条件に当てはまった場合のみプロモーションを適用する(条件を指定しない場合は、カート内のすべての商品にプロモーションを適用)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","プロモーションを適用する対象のカート内商品を設定する（条件を指定しない場合は、全ての商品にプロモーションを適用することとなる）"
"Apply to Shipping Amount","送料までプロモーションを適用する可否"
"Apply to the Selected Customer Segments","選択された顧客セグメントに適用"
"Approval needed","承認"
"Approve","最終承認"
"Approved by CC:","一次承認"
"ASKUL","BIZEX在庫有無"
"Assign","カテゴリーに追加"
"Assigned to Website","適用サイト"
"Auto","クーポンコード自動生成（利用しない）"
"Auto add promo items for every $X spent","無償添付（購入金額単位）"
"Auto add promo items for the whole cart","無償添付（受注単位）"
"Auto add promo items with products","無償添付（商品単位）"
"Auto add the same product","無償添付（同一商品）"
"Availability for Subscription Order by item","定期便申込可否"
"Available Product Listing Sort By","利用可能商品リスト順序"
"Back Expire Date","バックオーダー受注終了日"
"Back Order Limit","バックオーダー上限数"
"Base Image","ベースイメージ"
"Base Unsecure URL","ベースアンセキュアURL"
"Basic","基本情報"
"Basic Selling Price","基本販売価格"
"BASIC SETTINGS - Basic","基本設定 - 基本情報"
"BASIC SETTINGS - Booking","基本設定 - 会計情報"
"BASIC SETTINGS - Images and Videos","基本設定 - イメージ画像"
"BASIC SETTINGS - Information","基本設定 - 商品詳細"
"BASIC SETTINGS - Price","基本設定 - 価格情報"
"BASIC SETTINGS - Product Details","基本設定 - 商品詳細"
"BASIC SETTINGS - Search Engine Optimization","基本設定 - SEO"
"BASIC SETTINGS - Websites","基本設定 - 販売サイト"
"BH2 SAP","BH2"
"BLC","ボトルコーヒーサーバー"
"Block Orders","注文をブロックする"
"Booking","会計情報"
"Buy X get Y free(discount amounts is Y)","X個を買うと、Y個無料"
"by call","電話"
"by email","メール"
"by postcard","ハガキ"
"CART PRICE RULE - Actions","Cart Price Rule - アクション"
"CART PRICE RULE - Conditions","Cart Price Rule - コンディション"
"CART PRICE RULE - Labels","Cart Price Rule - ラベル"
"CART PRICE RULE - Manage Coupon Codes","Cart Price Rule - クーポンコード管理"
"CART PRICE RULE - Rule Information","Cart Price Rule - ルール情報"
"CATALOG PRICE RULE - Actions","Catalog Price Rule - アクション"
"CATALOG PRICE RULE - Conditions","Catalog Price Rule - コンディション"
"CATALOG PRICE RULE - Rule Information","Catalog Price Rule - プロモーション情報"
"Categories","カテゴリー"
"Category Name","カテゴリー名"
"Category Products","カテゴリー商品"
"CC feedback - Rejected","ＳＶ却下"
"Chiba","千葉県"
"Chirashi","チラシフラグ"
"Chocolatory Members","ショコラトリー"
"CIS Members","CIS"
"CIS Site","CIS"
"CIS Site - CIS Store - CIS View","CIS"
"CIS Site[JPY]","CIS"
"Classification for Cash on Deliver Fee or not","代引き手数料無料"
"Classification for product to Add Filter parts","スペシャルTフィルター同梱計算対象"
"Click here or drag and drop to add images.","クリックまたはドラッグ＆ドロップで画像を追加"
"Close","取り消し"
"Club member","クラブメンバー"
"CNC Members","CNC"
"CNC Site","CNC"
"CNC Site - CNC Store - CNC View","CNC"
"CNC Site[JPY]","CNC"
"Code Format","クーポンコードのフォーマット"
"Code Length","クーポンコードの長さ"
"Code Prefix","クーポンコードのプレフィックス"
"Code Suffix","クーポンコードのサフィックス"
"Comma seperated list of the SKUs","カンマ区切りで複数SKUコードを指定"
"Communications - Email Templates","コミュニケーション - メールテンプレート"
"Company address 1","会社住所1（漢字）"
"Company address 1 - Kana","会社住所1（半角カナ）"
"Company address 2","会社住所2（漢字）"
"Company address 2 - Kana","会社住所2（半角カナ）"
"Company name ","法人名（半角カナ）"
"Company zipcode ","法人郵便番号"
"Completed: ","最終承認"
"Conditions (don't add conditions if rule is applied to all products)","条件設定（設定しない場合は、すべての商品にプロモーションが適用される）"
"Confirm","はい"
"Consumer ID","顧客ConsumerDB ID"
"Content","回答選択肢"
"Converstion Number (Number of EACH in SAP)","ケース入数（SAP）"
"Cool","クール便（冷蔵）"
"Coupon","クーポン生成方法"
"Coupon Qty","生成するクーポンコード数量"
"COURSE INFORMATION - Categories","コース情報 - カテゴリー"
"COURSE INFORMATION - Machines","コース情報 - マシン"
"COURSE INFORMATION - Website Restriction","コース情報 - 販売サイト制限"
"Create Category","カテゴリーの登録"
"Created","作成済"
"Credit Card Only","クレジットカード払い限定"
"Cross-Sells","クロスセル"
"CS (Case)","CS"
"customer","顧客名"
"Customer Group Price","ボリュームディスカウント"
"Customer group selection","利用可能顧客グループ"
"Customer ID","顧客DB ID"
"Customer Memberships","メンバーシップ"
"Customer Segments","対象顧客セグメント"
"CUSTOMERS","顧客管理"
"Dash Every X Characters","字数毎の""-""付け"
"Data Transfer - Import","Data Transfer - インポート"
"Date of Birth","生年月日"
"Default Product Listing Sort By","デフォルトの商品リスト順序"
"Default Rule Label for All Store Views","ルールラベル（全サイト）"
"Default view","初期設定/お気に入り設定"
"Delete","削除する"
"Delivery N","配送回「N」の設定"
"Department name ","法人部署名（半角カナ）"
"Description","概要"
"Description Campaign","キャンペーン説明"
"Dimention / Depth(cm) per each","奥行き"
"Dimention / Wide(cm) per Each","幅"
"Disabled","無効"
"Discard subsequent rules","他のプロモーションを無効化にする"
"Discount","値引"
"Discount %","値引き率 (0-100)"
"Discount Amount","値引率・額"
"Discount Qty Step (Buy X)","まとめ買いプロモーション購入単位"
"Display order","表示順序"
"Display Settings","表示設定"
"Done","同梱済"
"Done by Manual","マニュアル別送済"
"Drop Down","ドロップダウン"
"Dynamic","Dynamic"
"EA (Each)","EA"
"EC Site","EC"
"EC Site - EC Store - EC View","EC"
"EC Site[JPY]","EC"
"Effective Date of GPS application (From)","変更予定日（GPS）"
"Ehime","愛媛県"
"Email Returns Confirmation
","顧客にメールを送信（使用不可）
"
"Employee Members","社販"
"Employee Site","社販"
"Employee Site - Employee Store - Employee View","社販"
"Employee Site[JPY]","社販"
"Enabled","有効"
"Enter SKUs below, one per line","1行ごとにSKUコードを入力してください"
"Error (not    purchased through applicable    subscription)","マシン同梱エラー（対象外定期便購入）"
"Error (not   applicable product purchased)","マシン同梱エラー（対象商品未購入）"
"Error (OOS)  ","マシン同梱エラー（在庫切れ）"
"Every N delivery","N回ごとの配送"
"Excluding prefix, suffix and separators.","プレフィックス・サフィックス・セパレータは含まれない"
"Fax","Fax"
"Final points to return","最終返品使用ポイント"
"Final return/ Refund amount","最終返品金額"
"First cod","一次店コード"
"Fixed","Fixed"
"Fixed amount discount","値引額指定（税込価格）"
"Fixed amount discount for whole cart","カート全体に対して値引額指定（税込価格）"
"Fixed reward point","ポイント（固定値）付与"
"Food","食品関連商品"
"For Matching Items Only","選択した定期便を送料無料にする"
"Free","レンタル"
"Free delivery WBS code","WBSコード（送料無料）"
"Free of charge - free samples","無償出荷 - サンプル"
"Free of charge-replacement","無償出荷 - 代品出荷"
"Free or Discount","マシン付与方法"
"Free payment","代引き手数料無料（SV承認後出荷指示）"
"Free payment fee","代引き手数料無料"
"Free payment fee WBS code","WBSコード（手数料無料）"
"Free Text","テキスト"
"Friend Ambassador Members","フレンドアンバサダー"
"From","開始日"
"From Hour","適用開始時間"
"From Time","開始時刻"
"Fukui","福井県"
"Fukuoka","福岡県"
"Fukushima","福島県"
"Fulfillment Date","入荷予定日"
"Future Basic Selling Price (excl. Consumption Tax)","変更予定販売価格"
"Future Basic Selling Price (excl. Consumption Tax) effective date & time","変更予定日"
"Future Effective Date of GPS","変更予定GPS価格"
"General Contact Email","代表連絡先メールアドレス"
"General Contact Name","代表連絡先名"
"General Information","基本設定"
"General Rule Information","ルール情報"
"Get video information","動画情報取得"
"Gift Wrapping Information","ギフトラッピング情報"
"Gifu","岐阜県"
"Global adjustment","返品金額調整"
"GPS price for EA","GPS価格（EA)"
"Gunma","群馬県"
"Hide from Product Page","商品ページに表示しない"
"Hiroshima","広島県"
"Hokkaido","北海道"
"Hyogo","兵庫県"
"Ibaraki","茨城県"
"ID","倉庫ID"
"If you select and save the rule you will be able to generate multiple coupon codes.","クーポンコードの一括生成を選択した上で保存する場合は複数のクーポンコードを生成することができます"
"Images and Videos","商品画像"
"Important: If you select """"Use Auto Generation"""", this rule will no longer be used in any automated email reminder rules for abandoned carts","重要： 「クーポンコード一括生成」を選択した場合は、このCart Price Ruleはリマインダメールルール設定で使用できなくなります"
"In collection","未回収"
"In rental","貸出中"
"Inactive","無効"
"Information","商品情報（商品詳細ページ表示用）"
"Input Type","回答形式"
"Insert Variable","変数追加"
"Inventory - Catalog","在庫 - 商品管理"
"Inventory - Categories","在庫 - カテゴリー"
"Inventory - Stock status management","在庫 - 商品在庫状況表示管理"
"Inventory - Stocks","在庫 - 在庫管理"
"Invoice and Ship","請求書と出荷"
"Invoice Members","請求書"
"Is Active","ステータス"
"Is Childeren Choice","詳細選択肢"
"Ishikawa","石川県"
"Item name","SKUまたは商品名"
"Item Price","単価"
"Items to Ship","出荷のアイテム"
"Iwate","岩手県"
"Kagawa","香川県"
"Kagoshima","鹿児島県"
"Kanagawa","神奈川県"
"Kitkat Members","キットカット"
"Kochi","高知県"
"Kumamoto","熊本県"
"Kyoto","京都府"
"Load default template","デフォルトテンプレート取込"
"Load Template","テンプレート取込"
"Machine Customer Form","顧客マシン保有情報"
"MACHINE CUSTOMER INFORMATION - Information","新規マシン保有顧客登録"
"Machine SKUs Form","アンバサダーマシン同送優先順位"
"MACHINE SKUs INFORMATION - Information","アンバサダーマシン同送優先順位情報"
"Machine type code","マシンタイプ"
"MARKETING","マーケティング"
"Master reference (Variant parent product)","マシンバリアントグループ"
"Material Type","製品種別"
"Maximum 255 chars","最大255文字まで入力可能"
"Maximum number of products this rule can apply to (up to 20).","最大20まで入力可能"
"Maximum Qty Allowed in Shopping Cart","最大購入数"
"Maximum Qty Discount is Applied To","プロモーション適用上限数量"
"Meta Description","表示概要"
"Meta Keywords","キーワード"
"Meta Title","表示タイトル"
"Mie","三重県"
"Milano Members","ミラノ"
"Milano Site","ミラノ"
"Milano Site - Milano Store - Milano View","ミラノ"
"Milano Site[JPY]","ミラノ"
"Minimum Qty Allowed in Shopping Cart","最低購入数"
"Miyagi","宮城県"
"Miyazaki","宮崎県"
"Move low stock to top","在庫が少ない商品を最上部に表示"
"Move out of stock to bottom","在庫切れ商品を最下部に表示"
"Multiple products","複数商品設定可否"
"Nagano","長野県"
"Nagasaki","長崎県"
"Name of person in charge ","担当者名"
"Name of person in charge - kana ","担当者名（半角カナ）"
"Name of person in charge-Kana","担当者名（カナ）"
"Name: A-Z","名前：A-Z"
"Name: Z-A","名前：Z-A"
"Nara","奈良県"
"NBA","ネスカフェ　バリスタ"
"NDG","ネスカフェ　ドルチェ　グスト    "
"Nespresso","ネスプレッソ"
"New Category","新規カテゴリー登録"
"New Product","新規商品登録"
"New Video","新規動画登録"
"Newest products first","新しい商品を最初に表示"
"Niigata","新潟県"
"Yes","はい"
"No Direct","いいえ"
"No backorders","バックオーダーなし"
"No Coupon","なし"
"No. of return items","返品数"
"None","なし"
"Normal","マークなし宅配便 "
"Normal EC","通常EC会員 "
"NOT LOGGED IN","未ログイン"
"Number of Adding Filter parts","フィルター同梱計算カウント数"
"Numeric","英字"
"Off Line Members","オフライン会員"
"Oita","大分県"
"Okayama","岡山県"
"Okinawa","沖縄県"
"On Line Members","オンライン会員"
"On N delivery","N回目の配送"
"One of the SKUs below","指定SKU中から一つを添付"
"Only Case","CS"
"Only Piece","EA"
"Operations Extended - Serial Codes","その他 - シリアルコード管理 "
"Order","表示番号"
"Order & Account Information","一般情報"
"Osaka","大阪府"
"Other Settings - Gift Wrapping","その他設定 - ギフトラッピング"
